Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"mainCRTStartup",0,46.6313,0,6.66327,"craft","[unknown]",0
"__tmainCRTStartup",0,46.6313,0,6.66327,"craft","[unknown]",0
"make_cube_faces",0.0905886,0.0905886,0.0129445,0.0129445,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/cube.c",12
"make_cube",0.0039995,0.0945881,0.0005715,0.013516,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/cube.c",93
"make_plant",0.0142632,0.0692242,0.00203811,0.00989164,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/cube.c",141
"db_worker_run",0,46.6551,0,6.66668,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/db.c",520
"db_load_blocks",0,0.0085141,0,0.0012166,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/db.c",412
"db_load_lights",0,0.0035061,0,0.000500996,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/db.c",430
"is_transparent",0.0956077,0.0956077,0.0136616,0.0136616,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/item.c",174
"map_set_func",0.0270056,0.0270056,0.0038589,0.0038589,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",1171
"snprintf.constprop.0",0,0.0145241,0,0.00207539,"craft","[unknown]",0
"draw_triangles_3d_ao",0.0034989,0.334554,0.000499967,0.0478053,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",297
"render_text.constprop.1",0,0.0080015,0,0.00114336,"craft","[unknown]",0
"chunk_visible",0.277356,0.277356,0.0396322,0.0396322,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",544
"hit_test",0.0185176,0.0702123,0.00264603,0.0100328,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",539
"gen_sign_buffer",0,0.0040019,0,0.000571842,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",840
"dirty_chunk",0.0459845,0.0459845,0.00657085,0.00657085,"craft","[unknown]",0
"occlusion",0.217947,0.217947,0.031143,0.031143,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",882
"compute_chunk",1.88758,2.481,0.269722,0.354517,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",960
"worker_run",0,186.62,0,26.6666,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",1436
"delete_chunks",0.0467672,0.0541817,0.00668269,0.00774217,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",160
"check_workers",0.0075065,0.230212,0.00107262,0.0328956,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",531
"force_chunks",0.0045073,0.0045073,0.00064406,0.00064406,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",531
"ensure_chunks_worker",44.9255,45.4979,6.41952,6.50133,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",1350
"render_chunks",0.0085187,46.1763,0.00121726,6.59826,"craft","C:/Users/roeld/Documents/git/Uni/UU/Optimization and Vectorization/Craft/src/main.c",1420
